Date,Price
2025-04-16,51.0357
2025-04-15,50.9249
2025-04-14,50.9303
2025-04-13,51.1697
2025-04-10,51.2735
2025-04-09,51.6134
2025-04-08,51.1953
2025-04-07,51.3324
2025-04-06,51.0564
2025-04-03,50.5296
2025-03-27,50.5148
2025-03-26,50.4854
2025-03-25,50.5146
2025-03-24,50.5451
2025-03-23,50.5868
2025-03-20,50.4969
2025-03-19,50.5747
2025-03-18,50.4131
2025-03-17,50.4461
2025-03-16,50.524
2025-03-13,50.584
2025-03-12,50.6196
2025-03-11,50.5411
2025-03-10,50.5379
2025-03-09,50.5719
2025-03-06,50.6406
2025-03-05,50.6156
2025-03-04,50.5808
2025-03-03,50.5886
2025-03-02,50.5879
2025-02-27,50.5918
2025-02-26,50.526
2025-02-25,50.5293
2025-02-24,50.5528
2025-02-23,50.505
2025-02-20,50.4985
2025-02-19,50.5389
2025-02-18,50.5899
2025-02-17,50.5438
2025-02-16,50.5597
2025-02-13,50.5802
2025-02-12,50.5602
2025-02-11,50.3944
2025-02-10,50.2237
2025-02-09,50.2078
2025-02-06,50.2308
2025-02-05,50.252
2025-02-04,50.2426
2025-02-03,50.2779
2025-02-02,50.161
2025-01-30,50.1697
2025-01-29,50.1688
2025-01-28,50.1342
2025-01-27,50.1861
2025-01-26,50.1858
2025-01-23,50.2208
2025-01-22,50.2549
2025-01-21,50.2206
2025-01-20,50.2431
2025-01-19,50.2858
2025-01-16,50.3108
2025-01-15,50.3701
2025-01-14,50.3892
2025-01-13,50.4458
2025-01-12,50.5026
2025-01-09,50.5064
2025-01-08,50.5329
2025-01-06,50.5915
2025-01-05,50.63
2025-01-02,50.7033
2024-12-31,50.7707
2024-12-30,50.7737
2024-12-29,50.7865
2024-12-26,50.815
2024-12-25,50.8519
2024-12-24,50.8381
2024-12-23,51.0069
2024-12-22,50.8572
2024-12-19,50.8523
2024-12-18,50.8105
2024-12-17,50.7254
2024-12-16,50.7501
2024-12-15,50.7296
2024-12-12,50.7736
2024-12-11,50.5863
2024-12-10,50.3925
2024-12-09,50.4461
2024-12-08,50.1742
2024-12-05,49.9352
2024-12-04,49.7692
2024-12-03,49.6723
2024-12-02,49.6482
2024-12-01,49.5235
2024-11-28,49.5278
2024-11-27,49.6025
2024-11-26,49.5276
2024-11-25,49.5518
2024-11-24,49.5953
2024-11-21,49.6061
2024-11-20,49.6694
2024-11-19,49.4647
2024-11-18,49.3656
2024-11-17,49.309
2024-11-14,49.3109
2024-11-13,49.2509
2024-11-12,49.1508
2024-11-11,49.1472
2024-11-10,49.1783
2024-11-07,49.2353
2024-11-06,49.1672
2024-11-05,49.0758
2024-11-04,49.0228
2024-11-03,48.9364
2024-10-31,48.8908
2024-10-30,48.7056
2024-10-29,48.6417
2024-10-28,48.6267
2024-10-27,48.6717
2024-10-24,48.7263
2024-10-23,48.6694
2024-10-22,48.6294
2024-10-21,48.5931
2024-10-20,48.5403
2024-10-17,48.5692
2024-10-16,48.5444
2024-10-15,48.4781
2024-10-14,48.546
2024-10-13,48.4992
2024-10-10,48.504
2024-10-09,48.443
2024-10-08,48.5081
2024-10-07,48.3586
2024-10-03,48.2724
2024-10-02,48.3015
2024-10-01,48.1738
2024-09-30,48.2271
2024-09-29,48.3428
